variable;description
ss;Study
wave;Wave
version;Version of Joint Data File
versn_s;Version of EVS5 and WVS7 source data files
doi_gesis;Digital Object Identifier (GESIS doi)
doi_wvsa;Digital Object Identifier (WVSA doi)
studytit;Source of the Joint dataset
uniqid;Unified respondent number (Joint)
intrvwr_id;Interviewer number
cntry;Country (ISO 3166-1 Numeric code)
cntry_AN;Country (ISO 3166-1 Alpha-2 code)
cntrycow;Country (CoW Numeric code)
year;Year survey
fw_start;Year/month of start-fieldwork
fw_end;Year/month of end-fieldwork
cntry_y;Country - year
mode;Mode of data collection
mm_mixed_mode_EVS5;Mixed mode/matrix design (EVS5)
mm_mode_fu_EVS5;Mode of data collection (follow-up) (EVS5)
mm_matrix_group_EVS5;Matrix attribution (group/variable bloc) (EVS5)
mm_fw_start_fu_EVS5;Year/month of start-fieldwork (matrix design) (EVS5)
mm_fw_end_fu_EVS5;Year/month of end-fieldwork (matrix design) (EVS5)
mm_year_fu_EVS5;Survey year (follow-up) (EVS5)
ivlength;Total length of interview
ivstart;Time of the interview - Start [hh.mm]
ivstend;Time of the interview - End [hh.mm]
ivdate;Date interview [YYYYMMDD]
mm_v277_fu_EVS5;Date of interview (follow-up) (EVS5)
mm_v278a_fu_r_EVS5;Time of ithe nterview -Start (constructed)  (follow-up) (EVS5)
mm_v279a_fu_r_EVS5;Time of ithe nterview - End (constructed)   (follow-up) (EVS5)
lnge_num;Language in which interview was conducted (WVS/EVS list of languages)
lnge_iso;Language in which interview was conducted  (ISO 639-1 alpha-2 / 639-2 alpha-3) 
gwght;Weight
pwght;Population size weight
wght_eq1000;Equilibrated weight-1000
reg_nuts1;Region where the interview was conducted (NUTS-1)
reg_nuts2;Region where the interview was conducted (NUTS-2)
reg_iso;Region where the interview was conducted (ISO) 
size_5c;Size of town where interview was conducted (5 categories)
respint;Respondent interested during the interview
A001;Important in life: Family
A002;Important in life: Friends
A003;Important in life: Leisure time
A004;Important in life: Politics
A005;Important in life: Work
A006;Important in life: Religion
A008;Feeling of happiness
A009;State of health (subjective)
A173;How much freedom of choice and control
A170;Satisfaction with your life
A027;Important child qualities: good manners
A029;Important child qualities: independence
A030;Important child qualities: hard work
A032;Important child qualities: feeling of responsibility
A034;Important child qualities: imagination
A035;Important child qualities: tolerance and respect for other people
A038;Important child qualities: thrift saving money and things
A039;Important child qualities: determination perseverance
A040;Important child qualities: religious faith
A041;Important child qualities: unselfishness
A042;Important child qualities: obedience
A065;Member: Belong to religious organization
A066;Member: Belong to education, arts, music or cultural activities
A067;Member: Belong to labour unions
A068;Member: Belong to political parties
A071;Member: Belong to conservation, the environment, ecology, animal rights
A072;Member: Belong to professional associations
A074;Member: Belong to sports or recreation
A078;Member: Belong to consumer groups
A079;Member: Belong to other groups
A080_01;Member: Humanitarian or charitable organization
A080_02;Member:  Self-help group, mutual aid group
A124_02;Neighbours: People of a different race
A124_03;Neighbours: Heavy drinkers
A124_06;Neighbours: Immigrants/foreign workers
A124_08;Neighbours: Drug addicts
A124_09;Neighbours: Homosexuals
B008;Protecting environment vs. Economic growth
